ele,time,name,xcoord,ycoord,zcoord
-0.33799,20-04-2025 01:26,374,73.79755,15.462363,-0.33799
-0.462318,20-04-2025 01:31,375,73.789852,15.466374,-0.462318
-2.582886,20-04-2025 01:36,376,73.782085,15.462725,-2.582886
1.336761,20-04-2025 01:40,377,73.780716,15.454358,1.336761
-0.533936,20-04-2025 01:46,378,73.779807,15.445214,-0.533936
-1.332672,20-04-2025 01:51,379,73.774361,15.436993,-1.332672
0.795815,20-04-2025 01:55,380,73.772078,15.430255,0.795815
0.880096,20-04-2025 02:00,381,73.770195,15.421673,0.880096
0.250397,20-04-2025 02:06,382,73.776192,15.41298,0.250397
-0.243858,20-04-2025 02:10,383,73.781037,15.407015,-0.243858
-1.374382,20-04-2025 02:15,384,73.779355,15.39953,-1.374382
-0.312401,20-04-2025 02:20,385,73.784566,15.393475,-0.312401
-0.878792,20-04-2025 02:24,386,73.790221,15.390874,-0.878792
1.070122,20-04-2025 02:29,387,73.797644,15.387225,1.070122
-0.445953,20-04-2025 02:32,388,73.800961,15.384964,-0.445953
0.36544,20-04-2025 02:33,389,73.80065,15.382734,0.36544
0.045692,20-04-2025 02:37,390,73.800839,15.37572,0.045692
0.182854,20-04-2025 02:39,391,73.799876,15.372296,0.182854
0.647972,20-04-2025 02:42,392,73.799413,15.367415,0.647972
-0.025063,20-04-2025 02:47,393,73.807985,15.366095,-0.025063
-0.8881,20-04-2025 02:53,394,73.818865,15.36594,-0.8881
-0.806938,20-04-2025 02:58,395,73.826288,15.367194,-0.806938
-0.825577,20-04-2025 03:00,396,73.828919,15.364908,-0.825577
0.588219,20-04-2025 03:03,397,73.828351,15.360077,0.588219
-0.9636,20-04-2025 03:09,398,73.837466,15.358837,-0.9636
-1.503845,20-04-2025 03:15,399,73.848095,15.358218,-1.503845
-0.638573,20-04-2025 03:20,400,73.855545,15.360704,-0.638573
-0.761604,20-04-2025 03:24,401,73.863732,15.36368,-0.761604
-1.625671,20-04-2025 03:26,402,73.867143,15.365006,-1.625671
-1.488426,20-04-2025 03:29,403,73.86981,15.363406,-1.488426
-1.422882,20-04-2025 03:34,404,73.866546,15.355046,-1.422882
-1.066856,20-04-2025 03:38,405,73.869382,15.350343,-1.066856
0.87645,20-04-2025 03:43,406,73.878624,15.350608,0.87645
1.696236,20-04-2025 03:48,407,73.882498,15.344458,1.696236
1.090088,20-04-2025 03:51,408,73.88184,15.340028,1.090088
1.100807,20-04-2025 03:53,409,73.880775,15.336618,1.100807
-0.035103,20-04-2025 03:56,410,73.878365,15.331184,-0.035103
-0.762383,20-04-2025 03:57,411,73.877178,15.328579,-0.762383
-0.748169,20-04-2025 04:00,412,73.876058,15.324819,-0.748169
0.338341,20-04-2025 04:01,413,73.87501,15.322667,0.338341
-0.928825,20-04-2025 04:03,414,73.876895,15.320145,-0.928825
0.24617,20-04-2025 04:04,415,73.877942,15.319979,0.24617
2.638054,20-04-2025 04:05,416,73.879291,15.319763,2.638054
0.730133,20-04-2025 04:06,417,73.881121,15.319655,0.730133
-0.211517,20-04-2025 04:07,418,73.882949,15.319539,-0.211517
0.45002,20-04-2025 04:08,419,73.884636,15.319522,0.45002
0.53968,20-04-2025 04:13,420,73.893957,15.321126,0.53968
2.068558,20-04-2025 04:17,421,73.891892,15.313721,2.068558
2.281235,20-04-2025 04:19,422,73.890731,15.311598,2.281235
2.178696,20-04-2025 04:20,423,73.889701,15.310158,2.178696
2.26667,20-04-2025 04:22,424,73.887324,15.306928,2.26667
1.619339,20-04-2025 04:27,425,73.889595,15.300914,1.619339
0.254074,20-04-2025 04:31,426,73.898555,15.299014,0.254074
1.901306,20-04-2025 04:36,427,73.897547,15.292643,1.901306
1.025688,20-04-2025 04:42,428,73.890578,15.283353,1.025688
2.789368,20-04-2025 04:43,429,73.888956,15.28157,2.789368
4.310204,20-04-2025 04:44,430,73.887646,15.280331,4.310204
2.194748,20-04-2025 04:46,431,73.886995,15.278226,2.194748
1.891891,20-04-2025 04:49,432,73.892215,15.275884,1.891891
1.166862,20-04-2025 04:51,433,73.896093,15.274453,1.166862
1.978416,20-04-2025 04:52,434,73.898572,15.273515,1.978416
2.076134,20-04-2025 04:54,435,73.901051,15.272641,2.076134
2.636635,20-04-2025 04:55,436,73.903006,15.271954,2.636635
0.584343,20-04-2025 04:57,437,73.906616,15.270815,0.584343
-0.295502,20-04-2025 05:00,438,73.91165,15.269251,-0.295502
0.54821,20-04-2025 05:03,439,73.909273,15.263499,0.54821
0.92878,20-04-2025 05:06,440,73.907298,15.25926,0.92878
1.254562,20-04-2025 05:10,441,73.903478,15.252791,1.254562
2.216019,20-04-2025 05:11,442,73.903502,15.251537,2.216019
1.509857,20-04-2025 05:15,443,73.902705,15.244336,1.509857
0.920029,20-04-2025 05:19,444,73.90643,15.238169,0.920029
0.919235,20-04-2025 05:24,445,73.913971,15.232657,0.919235
1.794594,20-04-2025 05:30,446,73.923305,15.22564,1.794594
1.154381,20-04-2025 05:35,447,73.921222,15.218511,1.154381
2.277542,20-04-2025 05:38,448,73.91837,15.213497,2.277542
2.025879,20-04-2025 05:43,449,73.912074,15.205883,2.025879
1.990723,20-04-2025 05:43,450,73.911086,15.204845,1.990723
3.464043,20-04-2025 05:47,451,73.913196,15.19982,3.464043
2.076393,20-04-2025 05:52,452,73.919328,15.1927,2.076393
3.022881,20-04-2025 05:56,453,73.925406,15.186645,3.022881
4.848175,20-04-2025 06:05,454,73.930307,15.17285,4.848175
3.60038,20-04-2025 06:14,455,73.93042,15.158239,3.60038
2.101242,20-04-2025 06:19,456,73.937098,15.152369,2.101242
1.809479,20-04-2025 06:24,457,73.944626,15.145404,1.809479
-0.152931,20-04-2025 06:27,458,73.948956,15.142528,-0.152931
-6.620911,21-04-2025 01:02,459,73.946205,15.142699,-6.620911
1.106224,21-04-2025 01:06,460,73.938997,15.138958,1.106224
-0.134895,21-04-2025 01:11,461,73.929581,15.134373,-0.134895
0.446648,21-04-2025 01:12,462,73.928229,15.13435,0.446648
0.062355,21-04-2025 01:14,463,73.927637,15.134034,0.062355
0.830223,21-04-2025 01:16,464,73.92298,15.13211,0.830223
1.04657,21-04-2025 01:20,465,73.923174,15.123711,1.04657
-0.070976,21-04-2025 01:25,466,73.92522,15.115026,-0.070976
-1.553246,21-04-2025 01:30,467,73.920044,15.113376,-1.553246
-0.988716,21-04-2025 01:34,468,73.911983,15.113138,-0.988716
-2.076286,21-04-2025 01:37,469,73.914893,15.107722,-2.076286
-0.837921,21-04-2025 01:38,470,73.917377,15.105425,-0.837921
-1.110405,21-04-2025 01:48,471,73.912913,15.093337,-1.110405
-1.397949,21-04-2025 01:49,472,73.910979,15.092286,-1.397949
-0.599144,21-04-2025 01:51,473,73.907074,15.090589,-0.599144
-0.093491,21-04-2025 01:52,474,73.90492,15.089609,-0.093491
-0.2892,21-04-2025 01:55,475,73.903115,15.086706,-0.2892
-0.596085,21-04-2025 01:57,476,73.905453,15.08578,-0.596085
-1.093735,21-04-2025 01:58,477,73.908005,15.084695,-1.093735
-0.882378,21-04-2025 01:59,478,73.90962,15.083838,-0.882378
-0.751656,21-04-2025 02:01,479,73.911928,15.08228,-0.751656
-0.309807,21-04-2025 02:02,480,73.91367,15.081435,-0.309807
0.801384,21-04-2025 02:07,481,73.921321,15.077697,0.801384
0.943428,21-04-2025 02:11,482,73.928469,15.074925,0.943428
0.480942,21-04-2025 02:17,483,73.93141,15.063423,0.480942
0.471413,21-04-2025 02:20,484,73.932109,15.058473,0.471413
1.394119,21-04-2025 02:22,485,73.935968,15.057631,1.394119
2.198807,21-04-2025 02:22,486,73.93725,15.057396,2.198807
2.377792,21-04-2025 02:25,487,73.94206,15.05627,2.377792
