id,left,top,right,bottom,n,distance,feature_x,feature_y,nearest_x,nearest_y
828,73.965,15.04,74.01,14.995,1,339.0339222,73.9875,15.0175,73.98902893,15.02014065
829,73.965,14.995,74.01,14.95,1,4732.183096,73.9875,14.9725,74.01235962,15.00708199
830,73.965,14.95,74.01,14.905,1,6100.126732,73.9875,14.9275,74.04207611,14.92152977
831,73.965,14.905,74.01,14.86,1,7341.372474,73.9875,14.8825,74.04292297,14.91847134
832,73.965,14.86,74.01,14.815,1,7779.90366,73.9875,14.8375,74.05430603,14.81653023
833,73.965,14.815,74.01,14.77,1,7877.926963,73.9875,14.7925,74.05430603,14.81624985
834,73.965,14.77,74.01,14.725,1,10650.27847,73.9875,14.7475,74.05458069,14.81596947
875,74.01,15.04,74.055,14.995,1,0,74.0325,15.0175,74.0325,15.0175
876,74.01,14.995,74.055,14.95,1,1126.649122,74.0325,14.9725,74.0348587,14.98236179
877,74.01,14.95,74.055,14.905,1,1207.793503,74.0325,14.9275,74.0423584,14.92292023
878,74.01,14.905,74.055,14.86,1,4000.138495,74.0325,14.8825,74.04708099,14.91541672
879,74.01,14.86,74.055,14.815,1,3343.723689,74.0325,14.8375,74.05708313,14.82014179
880,74.01,14.815,74.055,14.77,1,3580.385394,74.0325,14.7925,74.05458069,14.81596947
881,74.01,14.77,74.055,14.725,1,7959.737793,74.0325,14.7475,74.08625031,14.79485989
924,74.055,14.95,74.1,14.905,1,0,74.0775,14.9275,74.0775,14.9275
925,74.055,14.905,74.1,14.86,1,1932.163559,74.0775,14.8825,74.09402466,14.87708378
926,74.055,14.86,74.1,14.815,1,1713.764827,74.0775,14.8375,74.0929184,14.83708286
927,74.055,14.815,74.1,14.77,1,1006.983398,74.0775,14.7925,74.08625031,14.79485989
928,74.055,14.77,74.1,14.725,1,3603.42915,74.0775,14.7475,74.10791779,14.75874901
972,74.1,14.905,74.145,14.86,1,0,74.1225,14.8825,74.1225,14.8825
973,74.1,14.86,74.145,14.815,1,231.6642821,74.1225,14.8375,74.12458038,14.83736134
974,74.1,14.815,74.145,14.77,1,0,74.1225,14.7925,74.1225,14.7925
975,74.1,14.77,74.145,14.725,1,697.5383936,74.1225,14.7475,74.11985779,14.75319481
1022,74.145,14.77,74.19,14.725,1,546.8261321,74.1675,14.7475,74.16819763,14.75237179
1069,74.19,14.77,74.235,14.725,1,0,74.2125,14.7475,74.2125,14.7475
1116,74.235,14.77,74.28,14.725,1,0,74.2575,14.7475,74.2575,14.7475
